,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
302,Itarema,80,BR,1579401542,83,-2.92,-39.92,78.37,6.04
303,Sioux Lookout,90,CA,1579401542,92,50.1,-91.92,17.6,5.82
304,Panvel,0,IN,1579401321,64,18.98,73.1,75.99,6.22
305,Kruisfontein,100,ZA,1579401543,77,-34,24.73,59.9,10.09
306,Kaeo,36,NZ,1579401543,54,-35.1,173.78,88,8.99
308,Sora,0,IT,1579401380,99,41.72,13.61,46,0.81
309,Faanui,100,PF,1579401544,79,-16.48,-151.75,81.81,15.61
310,Ust'-Uda,22,RU,1579401544,90,54.17,103.03,-6.12,5.41
311,Petropavlovsk-Kamchatsky,20,RU,1579401544,77,53.05,158.65,6.8,4.47
312,Avarua,100,CK,1579401544,88,-21.21,-159.78,82.4,11.41
313,Woodward,1,US,1579401545,43,36.43,-99.39,33.8,3.36
314,Fallon,1,US,1579401350,50,39.47,-118.78,36,8.05
315,Xiongzhou,100,CN,1579401545,60,25.12,114.3,47.25,4.32
316,Lobito,41,AO,1579401545,74,-12.35,13.55,77.76,0.92
317,Murgab,90,TM,1579401545,86,37.5,61.97,37.4,9.17
319,Codrington,100,AU,1579401546,94,-38.27,141.97,63.23,16.22
320,Leningradskiy,100,RU,1579401546,98,69.38,178.42,-9.26,6.17
321,Presidencia Roque Saenz Pena,46,AR,1579401546,55,-26.79,-60.44,83.43,5.82
322,Comodoro Rivadavia,0,AR,1579401547,33,-45.87,-67.5,75.2,9.17
323,Muscat,22,OM,1579401343,87,23.61,58.59,57.2,4.7
324,Fukuecho,75,JP,1579401547,87,32.69,128.84,48.2,4.7
325,Dwarka,0,IN,1579401547,52,22.24,68.97,67.24,21.72
326,Knysna,100,ZA,1579401548,100,-34.04,23.05,57.2,14.99
327,Musafir-Khana,0,IN,1579401548,81,26.37,81.8,57.07,6.33
328,Alofi,100,NU,1579401548,82,-19.06,-169.92,82.31,37.16
329,Ukiah,1,US,1579401548,75,39.15,-123.21,48,3.36
331,Tuatapere,100,NZ,1579401549,70,-46.13,167.68,64,5.26
332,Port Elizabeth,75,ZA,1579401549,88,-33.92,25.57,62.6,1.12
333,Vardo,92,NO,1579401549,72,70.37,31.11,27.55,17.81
334,Namatanai,100,PG,1579401549,81,-3.67,152.43,81.66,11.77
335,Saint George,1,US,1579401479,39,37.1,-113.58,46,3.36
336,Sangar,100,RU,1579401550,92,63.92,127.47,-15.5,10.22
337,Mogadishu,55,SO,1579401550,76,2.04,45.34,79.39,22.26
338,Abu Kamal,53,SY,1579401551,72,34.45,40.92,47.32,5.06
339,Iqaluit,40,CA,1579401551,68,63.75,-68.51,-18,7.87
340,Sorland,98,NO,1579401551,74,67.67,12.69,40.26,16.58
341,Caxito,40,AO,1579401551,78,-8.58,13.66,80.6,3.36
342,Rome,90,US,1579401552,100,43.21,-75.46,34,10.29
343,Yatou,0,CN,1579401552,47,37.15,122.38,39.07,16.84
344,Raton,1,US,1579401552,63,36.9,-104.44,35.6,6.93
345,Sungaipenuh,98,ID,1579401552,70,-2.08,101.38,74.8,2.73
346,Maragogi,56,BR,1579401553,80,-9.01,-35.22,80.24,14.85
347,Kapuskasing,90,CA,1579401553,84,49.42,-82.43,8.6,11.41
349,Dunda,100,TZ,1579401553,95,-8.12,34.25,64.2,1.25
350,Khovd,5,MN,1579401553,71,48.01,91.64,1.08,1.01
351,Morondava,100,MG,1579401554,95,-20.28,44.28,75.83,3.89
352,Baglung,0,NP,1579401554,30,28.27,83.59,34.79,3.02
353,Greensburg,90,US,1579401554,81,40.3,-79.54,46.99,17.22
354,Coquimbo,90,CL,1579401554,88,-29.95,-71.34,62.6,4.7
355,Ende,7,ID,1579401555,76,-8.84,121.66,83.89,14.23
356,Vila,75,PT,1579401555,100,42.03,-8.16,53.01,3.36
357,Tahta,0,EG,1579401556,80,26.77,31.5,41.11,4.54
358,Hualmay,67,PE,1579401556,86,-11.1,-77.61,67.35,3.24
359,Bay Roberts,75,CA,1579401556,78,47.6,-53.26,10.99,13.87
360,Abu Samrah,73,SY,1579401556,90,35.3,37.18,45.1,6.76
361,Provincia di Mantova,40,IT,1579401557,87,45.17,10.78,44.01,4.7
362,Bandarbeyla,0,SO,1579401557,73,9.49,50.81,76.37,19.64
363,Vila Velha,75,BR,1579401557,78,-20.33,-40.29,77,14.99
364,Fairbanks,0,US,1579401558,74,64.84,-147.72,-25.6,3.38
365,Navolato,20,MX,1579401558,73,24.77,-107.69,72,2.95
366,Castro,78,BR,1579401558,93,-24.79,-50.01,60.03,7.92
367,Krasnoarmeyskoye,97,RU,1579401559,97,52.72,50.03,28.18,5.66
368,Upernavik,0,GL,1579401559,64,72.79,-56.15,-12.68,6.33
369,Swellendam,100,ZA,1579401559,77,-34.02,20.44,64.4,9.17
370,Buin,75,CL,1579401559,44,-33.73,-70.75,75.2,13.87
371,Inuvik,5,CA,1579401560,63,68.35,-133.72,-5.8,10.29
372,Boende,100,CD,1579401560,78,-0.22,20.87,73.2,4.14
373,Thinadhoo,57,MV,1579401560,80,0.53,72.93,82.72,13.65
375,Yuzhno-Kurilsk,95,RU,1579401560,64,44.03,145.86,26.42,2.89
376,Sao Felix do Xingu,91,BR,1579401561,80,-6.64,-51.99,74.68,2.35
377,Norman Wells,5,CA,1579401561,76,65.28,-126.83,-11.2,4.7
378,Nuevo Progreso,60,MX,1579401561,96,23.17,-97.95,70,1.01
379,Huarmey,95,PE,1579401561,83,-10.07,-78.15,67.8,3.27
380,Pulandian,0,CN,1579401562,37,39.4,121.97,46.99,11.18
381,Imbituba,40,BR,1579401562,78,-28.24,-48.67,73.4,3.36
382,Bubaque,26,GW,1579401562,59,11.28,-15.83,77.05,5.3
383,Launceston,72,AU,1579401562,35,-41.45,147.17,77,11.41
385,Cayenne,90,GF,1579401563,78,4.93,-52.33,80.6,8.05
386,Nanortalik,100,GL,1579401563,93,60.14,-45.24,30.02,8.48
387,Buchanan,20,LR,1579401563,94,5.88,-10.05,77,1.66
388,Santa Rosa,40,PH,1579401563,69,14.31,121.11,84,4.7
389,Julfa,90,AZ,1579401326,100,38.96,45.63,26.6,4.7
390,Araouane,47,ML,1579401564,20,18.9,-3.53,60.96,12.37
391,Nieuw Amsterdam,0,SR,1579401564,94,5.88,-55.08,77,3.36
392,Bilibino,100,RU,1579401564,99,68.05,166.44,-15.79,3.15
393,Pombas,86,CV,1579401565,77,17.15,-25.02,69.8,17.22
394,Monrovia,20,LR,1579401565,94,6.3,-10.8,77,5.28
396,Tiznit,0,MA,1579401565,30,29.58,-9.5,50.58,1.01
397,Chui,24,UY,1579401566,79,-33.7,-53.46,66,9.04
398,Pontian Kecil,75,MY,1579401566,74,1.48,103.39,86,6.93
399,Mecca,100,SA,1579401566,65,21.43,39.83,64.36,6.17
400,Moose Factory,90,CA,1579401566,77,51.26,-80.61,5,5.82
401,Ketchikan,90,US,1579401567,94,55.34,-131.65,37.4,29.97
402,Otradnoye,75,RU,1579401567,86,59.78,30.82,37.99,6.71
403,Weihai,0,CN,1579401543,58,37.5,122.11,36.64,20.54
404,Manta,75,EC,1579401567,78,-0.95,-80.73,80.6,8.05
405,Almaznyy,75,RU,1579401568,82,48.04,40.05,32,6.71
406,Cacu,100,BR,1579401568,94,-18.56,-51.13,72.05,1.81
407,Mesetas,63,CO,1579401568,87,3.38,-74.04,67.41,4.52
408,Naron,40,ES,1579401568,93,43.52,-8.15,52,9.17
409,Kieta,0,PG,1579401505,71,-6.22,155.63,84.9,9.1
410,San Cristobal,40,VE,1579401569,78,7.77,-72.22,78.8,4.7
411,Katsuura,20,JP,1579401569,52,35.13,140.3,54,8.05
412,Griffith,90,US,1579401492,72,41.53,-87.42,15.8,25.28
413,Cotonou,20,BJ,1579401569,94,6.37,2.42,80.6,2.24
414,La Sarre,100,CA,1579401570,92,48.8,-79.2,5.63,7.87
415,Aktobe,90,KZ,1579401570,92,50.28,57.21,24.8,4.47
416,Banjar,40,ID,1579401570,79,-8.19,114.97,86,9.17
417,Saint-Pierre-des-Corps,34,FR,1579401570,86,47.38,0.73,37.4,6.93
418,Ayagoz,100,KZ,1579401571,84,47.97,80.44,5.77,1.99
419,Mount Isa,52,AU,1579401571,8,-20.73,139.5,102.2,6.93
420,Vila Franca do Campo,75,PT,1579401571,93,37.72,-25.43,64.4,10.29
421,The Valley,40,AI,1579401571,73,18.22,-63.06,78.01,13.87
422,Portland,90,US,1579401324,86,45.52,-122.68,50,16.11
423,Zyryanka,92,RU,1579401572,97,65.75,150.85,-16.53,2.68
424,Metuchen,90,US,1579401572,86,40.54,-74.36,39.99,6.93
425,Luderitz,0,NA,1579401572,77,-26.65,15.16,64.4,13.87
426,Sawai Madhopur,0,IN,1579401573,76,25.98,76.37,54.14,3.78
428,Geraldton,65,AU,1579401573,32,-28.77,114.6,93.2,19.46
429,Beringovskiy,100,RU,1579401573,93,63.05,179.32,20.28,18.45
430,Muravlenko,32,RU,1579401574,98,63.79,74.52,-19.19,13.8
431,Walvis Bay,2,NA,1579401574,82,-22.96,14.51,66,12.75
433,Dire,0,ML,1579401574,21,12.28,-10.97,66.65,4.05
434,Palu,79,ID,1579401575,55,-0.89,119.87,85.26,3.04
435,Marawi,0,PH,1579401575,76,8,124.29,81,5.99
436,San Vicente,41,AR,1579401575,85,-26.62,-54.13,71.53,1.28
437,Arman,100,RU,1579401575,91,59.7,150.17,3.65,6.55
438,Palmer,90,US,1579401576,85,42.16,-72.33,21.99,7.76
439,Vizinga,100,RU,1579401576,96,61.07,50.1,25.07,5.91
440,Puerto Carreno,0,CO,1579401576,62,6.19,-67.49,81.36,10.25
441,Banda Aceh,3,ID,1579401576,64,5.56,95.32,84.69,6.62
442,Pontianak,25,ID,1579401577,64,-0.03,109.33,88.25,2.91
443,Jacareacanga,58,BR,1579401577,87,-6.22,-57.75,76.03,1.19
444,Aklavik,5,CA,1579401577,63,68.22,-135.01,-5.8,10.29
446,Olafsvik,100,IS,1579401578,94,64.89,-23.71,39.79,38.25
447,Broken Hill,19,AU,1579401578,17,-31.95,141.43,84.2,5.82
448,San Quintin,0,MX,1579401578,9,30.48,-115.95,43,1.99
449,Jasa Tomic,79,RS,1579401578,64,45.45,20.86,35.6,11.41
450,Tupik,41,RU,1579401578,92,54.43,119.93,-10.62,0.54
451,Grand Gaube,75,MU,1579401579,94,-20.01,57.66,80.01,2.24
452,Komsomolets,0,KZ,1579401579,91,53.75,62.07,13.01,5.5
453,Kihei,40,US,1579401579,83,20.79,-156.47,71.6,25.28
454,Todos Santos,5,MX,1579401579,68,23.45,-110.22,71.01,5.82
455,Urumqi,90,CN,1579401324,83,43.8,87.6,-5.8,2.08
456,Plouzane,0,FR,1579401580,86,48.38,-4.62,39.2,10.29
457,Sehithwa,0,BW,1579401580,64,-20.47,22.72,73.22,4.88
459,Okha,80,RU,1579401581,85,53.57,142.95,0.66,3.67
460,Talara,100,PE,1579401444,90,-4.58,-81.27,70.63,12.93
461,Ust-Kuyga,0,RU,1579401581,92,70.02,135.6,-29.9,8.21
462,Iznoski,79,RU,1579401581,95,54.99,35.31,26.04,7.02
463,Goiatuba,100,BR,1579401582,88,-18.01,-49.35,73.36,1.45
464,Khingansk,85,RU,1579401582,90,49.12,131.18,2.55,3.36
465,Quatre Cocos,75,MU,1579401582,94,-20.21,57.76,80.01,2.24
466,Galbshtadt,99,RU,1579401582,92,53.23,78.98,19.92,16.04
468,Jalu,86,LY,1579401583,68,29.03,21.55,55.33,13.02
469,Inhambane,94,MZ,1579401583,76,-23.86,35.38,82.69,3.58
471,Visnes,65,NO,1579401583,61,59.36,5.22,44.01,27.51
472,Vuktyl,100,RU,1579401584,97,63.86,57.31,1.51,4.5
474,Great Bend,1,US,1579401584,74,38.36,-98.76,32,6.93
475,Porto Real,93,BR,1579401584,96,-22.42,-44.29,63.18,4.27
476,Waitati,100,NZ,1579401585,66,-45.75,170.57,69.01,10
477,Oranjestad,20,AW,1579401520,78,12.52,-70.03,78.8,23.04
478,Ambon,20,ID,1579401585,49,-3.7,128.18,91.4,16.11
479,Roald,100,NO,1579401585,65,62.58,6.13,41,16.11
480,Concordia,40,AR,1579401586,67,-31.39,-58.02,77,4.14
481,Ibateguara,75,BR,1579401586,94,-8.97,-35.94,77,5.82
482,Sayyan,0,YE,1579401586,31,15.17,44.32,44.64,1.83
483,Cap Malheureux,75,MU,1579401586,94,-19.98,57.61,80.01,2.24
484,Changde,0,CN,1579401587,63,29.05,111.68,47.37,4.14
485,Kahului,40,US,1579401587,83,20.89,-156.47,71.6,25.28
486,Elko,40,US,1579401587,58,41,-115.5,30.2,4.7
487,Bridlington,2,GB,1579401587,69,54.08,-0.19,39.99,8.05
488,Gonzaga,40,IT,1579401587,87,44.95,10.82,45,4.7
489,Westport,100,US,1579401317,92,41.14,-73.36,41,5.82
490,Chara,88,RU,1579401588,69,56.91,118.26,-9.69,1.05
491,Luxor,0,EG,1579401588,68,25.7,32.64,44.73,6.71
492,Rorvik,100,NO,1579401588,94,64.86,11.24,42.01,3
493,Ust-Tsilma,77,RU,1579401589,99,65.44,52.15,-0.17,0.43
494,Qasigiannguit,100,GL,1579401589,59,68.82,-51.19,-0.4,8.05
495,Khani,42,GE,1579401589,69,41.96,42.96,39.2,11.41
496,Cobija,67,BO,1579401589,97,-11.03,-68.77,73.27,2.71
497,Mandalgovi,0,MN,1579401590,70,45.76,106.27,7.68,14.9
499,Pundaguitan,8,PH,1579401590,72,6.37,126.17,80.24,5.75
500,Bajil,0,YE,1579401590,75,15.06,43.29,66.97,2.91
502,Kailua,75,US,1579401591,60,21.4,-157.74,78.8,16.11
503,Burnie,91,AU,1579401591,35,-41.07,145.92,71.01,5.99
504,Mocuba,100,MZ,1579401591,96,-16.84,36.99,75.15,2.51
505,Passos,100,BR,1579401592,95,-20.72,-46.61,66.99,7.72
506,Kangaatsiaq,7,GL,1579401592,72,68.31,-53.46,10.04,14.76
507,Pangoa,89,PE,1579401592,97,-12.12,-73,68.56,1.01
508,Kamaishi,20,JP,1579401592,64,39.27,141.88,33.8,2.24
509,Sirte,16,LY,1579401593,85,31.21,16.59,51.31,11.23
510,Rosario,52,AR,1579401593,64,-32.95,-60.64,77,4.7
511,Flin Flon,100,CA,1579401593,96,54.77,-101.86,-8.41,6.15
512,Kushima,75,JP,1579401593,50,31.46,131.23,55.4,8.05
513,Nome,40,US,1579401593,65,64.5,-165.41,6.8,12.75
514,Agrigento,0,IT,1579401594,89,37.45,13.5,46.99,4.54
515,Kedrovyy,100,RU,1579401594,70,56.17,91.82,-0.4,8.95
516,Tura,94,IN,1579401493,63,25.52,90.22,67.6,1.25
517,Nyurba,100,RU,1579401594,95,63.28,118.33,4.44,5.61
518,Belaya Gora,99,RU,1579401595,98,68.53,146.42,-23.35,2.1
519,Mitu,100,CO,1579401595,97,1.2,-70.17,73.42,0.51
520,Talcahuano,95,CL,1579401595,72,-36.72,-73.12,60.8,2.24
521,Young,28,UY,1579401338,42,-32.68,-57.63,71.76,6.15
522,Chernukha,100,RU,1579401596,94,55.6,43.76,27.66,13.06
523,Antalaha,100,MG,1579401596,79,-14.9,50.28,81.72,5.7
524,Kilindoni,66,TZ,1579401596,83,-7.91,39.67,82.56,17.47
525,Lalibela,0,ET,1579401596,48,12.03,39.03,50.97,1.7
526,Felipe Carrillo Puerto,55,MX,1579401596,92,19.58,-88.05,70.09,2.17
527,Juneau,90,US,1579401597,49,58.3,-134.42,26.6,3.36
528,Twin Falls,75,US,1579401356,86,42.56,-114.46,28.4,5.82
530,Del Rio,1,US,1579401344,51,29.36,-100.9,59,5.82
531,Peleduy,100,RU,1579401598,94,59.63,112.74,14.41,7.56
532,Buraidah,33,SA,1579401598,66,26.33,43.98,51.8,8.05
533,Winchester,0,GB,1579401598,92,51.07,-1.32,36,4.7
534,Kulu,0,TR,1579401598,72,39.1,33.08,28.06,5.75
535,Grindavik,90,IS,1579401599,100,63.84,-22.43,39.2,36.91
536,Barcelona,75,ES,1579401550,76,41.39,2.16,53.01,8.05
538,Puerto del Rosario,0,ES,1579401599,87,28.5,-13.86,60.8,9.17
539,Cooma,37,AU,1579401599,44,-36.23,149.13,75.2,5.82
540,Alta Floresta,65,BR,1579401600,88,-9.88,-56.09,75.51,1.5
541,Suixi,0,CN,1579401600,55,33.89,116.77,42.98,4.63
542,Tongliao,89,CN,1579401600,92,43.61,122.27,9.95,7.49
543,Kommunisticheskiy,0,RU,1579401600,93,61.68,64.48,-3.48,5.91
544,Badou,0,TG,1579401601,35,7.58,0.6,71.47,2.1
545,Pirovskoye,100,RU,1579401601,81,57.63,92.27,1.02,9.46
546,Mishawaka,90,US,1579401504,72,41.66,-86.16,23,23.04
547,Turan,75,VN,1579401602,65,16.07,108.22,78.8,2.24
548,Whitianga,61,NZ,1579401602,53,-36.83,175.7,86,4
549,Concarneau,0,FR,1579401602,86,47.88,-3.92,39.99,9.17
550,Tarakan,5,ID,1579401602,76,3.3,117.63,82.89,5.77
551,Umm Lajj,0,SA,1579401603,58,25.02,37.27,56.95,6.87
552,Krosno,90,PL,1579401603,92,49.69,21.77,30.2,4.7
553,Half Moon Bay,1,US,1579401370,71,37.46,-122.43,52,6.93
554,Killam,93,CA,1579401603,63,52.78,-111.85,-17,6.17
555,Gardez,100,AF,1579401604,53,33.6,69.23,14.11,3.8
556,Massaguet,11,TD,1579401604,34,12.48,15.44,66.2,9.17
557,Karakol,0,KG,1579401604,35,42.49,78.39,12.11,2.59
558,Kloulklubed,75,PW,1579401604,66,7.04,134.26,86,11.41
560,Smolenka,40,RU,1579401605,76,52.14,113.5,-9.4,2.91
562,Tonantins,99,BR,1579401605,92,-2.87,-67.8,74.57,1.21
563,Rocha,6,UY,1579401606,66,-34.48,-54.33,63.21,6.11
564,La Maddalena,50,IT,1579401606,89,41.21,9.41,44.6,3.36
565,Tuy Hoa,100,VN,1579401606,70,13.08,109.3,75.79,15.32
566,Zhangjiakou Shi Xuanhua Qu,0,CN,1579401606,50,40.61,115.04,16.23,4.07
567,Cabedelo,20,BR,1579401607,74,-6.98,-34.83,80.6,8.05
569,Maningrida,0,AU,1579401607,78,-12.07,134.27,86.04,18.57
570,Mabaruma,9,GY,1579401607,99,8.2,-59.78,71.78,1.43
571,Sakakah,40,SA,1579401608,70,29.97,40.21,46.4,4.7
572,Pacific Grove,1,US,1579401608,62,36.62,-121.92,53.01,13.89
574,Oktyabrskiy,99,RU,1579401609,97,54.48,53.47,28.08,4.94
575,Businga,59,CD,1579401609,85,3.33,20.88,65.3,1.48
577,Tchibanga,99,GA,1579401609,97,-2.85,11.03,72.43,0.76
578,Gazli,62,UZ,1579401610,76,40.13,63.45,33.26,8.39
579,Lata,20,PT,1579401610,87,40.16,-8.33,55,14.99
580,Takhtamygda,91,RU,1579401610,92,54.1,123.57,-10.32,0.6
581,Pisco,90,PE,1579401498,83,-13.7,-76.22,71.6,12.75
582,Oum Hadjer,19,TD,1579401611,45,13.3,19.7,59.22,12.55
583,Takoradze,0,GH,1579401611,91,4.88,-1.76,76.82,2.15
584,Ramanuj Ganj,100,IN,1579401611,87,23.8,83.7,60.66,3.85
585,Birjand,75,IR,1579401611,47,32.87,59.22,37.4,9.17
586,Mvuma,100,ZW,1579401612,94,-19.28,30.53,66.85,5.44
587,Srednekolymsk,89,RU,1579401612,97,67.45,153.68,-21.5,3.65
588,Aurora,1,US,1579401315,57,39.73,-104.83,32,1.81
589,Foz do Iguacu,40,BR,1579401553,94,-25.55,-54.59,77,3.74
590,Nioro,78,GM,1579401613,13,13.35,-15.75,69.55,6.26
591,Yeppoon,40,AU,1579401613,32,-23.13,150.73,96.8,6.93
592,Alugan,69,PH,1579401613,85,12.22,125.48,79.48,1.97
